ticker,company_name,source_md,competitor_count,review_status,competitor_entities,competitor_basis,competitor_text
1101,台泥,Pilot_Reports/水泥 - 石灰石/1101_台泥.md,0,needs_competitor_review,,,
1102,亞泥,Pilot_Reports/風力發電 - 風場開發/1102_亞泥.md,0,needs_competitor_review,,,
1103,嘉泥,Pilot_Reports/水泥 - 水泥成品/1103_嘉泥.md,0,needs_competitor_review,,,
1104,環泥,Pilot_Reports/水泥 - 水泥成品/1104_環泥.md,0,needs_competitor_review,,,
1108,幸福,Pilot_Reports/水泥 - 石灰石/1108_幸福.md,0,needs_competitor_review,,,
1109,信大,Pilot_Reports/水泥 - 石灰石/1109_信大.md,0,needs_competitor_review,,,
1110,東泥,Pilot_Reports/水泥 - 水泥成品/1110_東泥.md,0,needs_competitor_review,,,
1240,茂生農經,Pilot_Reports/其他 - 農業科技業/1240_茂生農經.md,0,needs_competitor_review,,,
1301,台塑,Pilot_Reports/石化及塑橡膠 - 塑膠製品/1301_台塑.md,0,needs_competitor_review,,,
1303,南亞,Pilot_Reports/印刷電路板 - 玻璃纖維_玻纖布/1303_南亞.md,0,needs_competitor_review,,,
1304,台聚,Pilot_Reports/石化及塑橡膠 - 石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等)/1304_台聚.md,0,needs_competitor_review,,,
1305,華夏,Pilot_Reports/石化及塑橡膠 - 塑膠製品/1305_華夏.md,0,needs_competitor_review,,,
1307,三芳,Pilot_Reports/石化及塑橡膠 - 塑膠製品/1307_三芳.md,0,needs_competitor_review,,,
1308,亞聚,Pilot_Reports/石化及塑橡膠 - 石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等)/1308_亞聚.md,0,needs_competitor_review,,,
1309,台達化,Pilot_Reports/石化及塑橡膠 - 塑膠製品/1309_台達化.md,0,needs_competitor_review,,,
1310,台苯,Pilot_Reports/石化及塑橡膠 - 塑膠製品/1310_台苯.md,0,needs_competitor_review,,,
1312,國喬,Pilot_Reports/石化及塑橡膠 - 塑膠製品/1312_國喬.md,0,needs_competitor_review,,,
1313,聯成,Pilot_Reports/石化及塑橡膠 - 塑化劑(可塑劑)/1313_聯成.md,0,needs_competitor_review,,,
1314,中石化,Pilot_Reports/石化及塑橡膠 - 石化中間原料(例如乙烯、丙烯、丁二烯、苯、酚等)/1314_中石化.md,0,needs_competitor_review,,,
